zone,date,sources_count,affected_population,health_severity,access_difficulty,vulnerability,local_stock,rainfall_mm,food_insecurity_index,target_priority
Nord,2026-01-01,3,22000,0.80,0.70,0.90,80,45,0.72,0.86
Sud,2026-01-01,4,32000,0.70,0.90,0.80,60,62,0.78,0.93
Est,2026-01-01,3,15000,0.60,0.50,0.70,140,31,0.55,0.64
Ouest,2026-01-01,2,12000,0.40,0.30,0.60,220,18,0.46,0.40
Nord,2026-01-08,4,24000,0.82,0.72,0.92,70,41,0.74,0.89
Sud,2026-01-08,4,34000,0.73,0.88,0.82,50,58,0.80,0.95
Est,2026-01-08,3,16000,0.58,0.52,0.71,130,28,0.57,0.66
Ouest,2026-01-08,3,13000,0.42,0.35,0.62,210,20,0.48,0.43
Nord,2026-01-15,3,25000,0.84,0.74,0.93,65,39,0.76,0.91
Sud,2026-01-15,4,36000,0.75,0.91,0.84,45,64,0.83,0.97
Est,2026-01-15,3,17000,0.61,0.54,0.73,120,33,0.59,0.69
Ouest,2026-01-15,2,13500,0.44,0.36,0.63,205,22,0.49,0.45
